id,name,manufacturer,price,capacity,description
2001,EcoCharge HomeVault 10,EcoCharge,1499.00,10,"The HomeVault 10 is a 10kWh LiFePO4 battery designed for whole-home backup. It features an advanced Battery Management System (BMS) for optimal safety and a 6,000 cycle life."
2002,Quantum EnergyBank 5,Quantum Energy,750.00,5,"Store your solar energy with the Quantum EnergyBank 5. This 5kWh unit uses safe LiFePO4 technology for reliable, long-lasting performance. Perfect for self-consumption and peak shaving."
2003,AuraPower Reserve 15,AuraPower,1999.00,15,"Achieve energy independence with the AuraPower Reserve 15, a scalable 15kWh storage solution. Its modular, stackable design allows for easy installation and future expansion."
2004,VoltStorage Core 2.5,VoltStorage,299.99,2.5,"The VoltStorage Core 2.5 is a compact 2.5kWh LFP battery. It's an ideal entry-point for solar storage, helping you optimize self-consumption and reduce your electricity bills."
2005,AmpereDrive Titan 12,AmpereDrive,1750.00,12,"This 12kWh Lithium-Ion (NMC) battery is built for high-power applications. It offers excellent power density and round-trip efficiency, perfect for off-grid homes requiring large loads."
2006,PowerFlow Stack 7.5,PowerFlow,1100.00,7.5,"The PowerFlow Stack 7.5 is a 7.5kWh modular LFP battery. You can stack up to four units for a total of 30kWh, making it a flexible solution for growing energy needs."
2007,GridCore WallMount 8,GridCore,1250.00,8,"This 8kWh LiFePO4 battery features a slim, wall-mountable design. It integrates seamlessly into your home and provides reliable backup power during grid outages."
2008,ElementVolt LFP 14,ElementVolt,1900.00,14,"The ElementVolt LFP 14 is a high-capacity 14kWh battery. It uses cobalt-free LiFePO4 chemistry, offering superior safety, thermal stability, and an exceptionally long lifespan."
2009,ZenithStorage Z-Bank 4,ZenithStorage,600.00,4,"A 4kWh LFP battery module that is rack-mountable for easy installation. It's a scalable solution, perfect for building custom-sized battery banks for off-grid or commercial use."
2010,TerraCharge HomeBase 10,TerraCharge,1550.00,10,"The 10kWh TerraCharge HomeBase provides dependable energy storage. Its integrated smart BMS communicates directly with leading inverters for optimized charging and discharging cycles."
2011,EcoCharge HomeVault 13.5,EcoCharge,1850.00,13.5,"The 13.5kWh HomeVault is a high-capacity LiFePO4 battery. It's designed for full home backup, ensuring your lights and essential appliances stay on during any outage."
2012,Quantum EnergyBank 7,Quantum Energy,1050.00,7,"This 7kWh LiFePO4 battery offers a great balance of capacity and price. It's perfect for residential users looking to maximize their solar self-consumption."
2013,AuraPower Reserve 10,AuraPower,1450.00,10,"The AuraPower Reserve 10 is a 10kWh modular battery. Its sleek design and scalable architecture make it a popular choice for modern, energy-smart homes."
2014,VoltStorage Core 5,VoltStorage,760.00,5,"A 5kWh LFP battery that is simple to install and operate. The VoltStorage Core 5 is a robust, no-fuss solution for adding energy storage to any solar PV system."
2015,AmpereDrive Titan 9,AmpereDrive,1300.00,9,"This 9kWh NMC battery delivers high power output in a compact form factor. It's ideal for homes with high peak energy demands, like those with EV chargers."
2016,PowerFlow Stack 3.5,PowerFlow,499.00,3.5,"The 3.5kWh PowerFlow Stack is the base module for their scalable system. Start with one and add more later as your energy storage requirements increase."
2017,GridCore WallMount 11,GridCore,1600.00,11,"This 11kWh wall-mounted LFP battery features an integrated DC disconnect. This simplifies installation and provides a clean, all-in-one look in your garage or utility room."
2018,ElementVolt LFP 6.5,ElementVolt,950.00,6.5,"A 6.5kWh LiFePO4 battery with a very high cycle life. It's engineered for durability and is an excellent choice for off-grid applications where reliability is paramount."
2019,ZenithStorage Z-Bank 2.4,ZenithStorage,350.00,2.4,"This 2.4kWh rack-mounted LFP module is a favorite for DIYers and system integrators. It offers robust performance and is easily paralleled for larger system builds."
2020,TerraCharge HomeBase 12,TerraCharge,1700.00,12,"The 12kWh TerraCharge HomeBase is a smart battery. It can be programmed for time-of-use arbitrage, charging from the grid when rates are low and powering your home when they are high."
2021,EcoCharge HomeVault 7.5,EcoCharge,1150.00,7.5,"A 7.5kWh LFP battery from the reliable HomeVault series. It's a mid-sized option perfect for many homes, providing both blackout protection and daily energy cycling."
2022,Quantum EnergyBank 10,Quantum Energy,1480.00,10,"The 10kWh EnergyBank is a complete home storage solution. It features a wide operating temperature range, making it suitable for installation in garages or sheds."
