id,name,manufacturer,price,connector_type,description
3001,SafeLock Pro Pair M/F,SafeLock,7.99,MC4,"This MC4-compatible connector pair (Male/Female) ensures a secure, IP67 waterproof connection for 10 or 12 AWG solar cable. Made from durable PPO material for long-term outdoor use."
3002,PV-Link T-Branch 2-1,PV-Link,18.50,T-Branch,"This T-Branch connector (1 Male to 2 Female) allows for easy parallel wiring of solar panels. It features a quick snap-in locking mechanism and is IP67 rated."
3003,AmpJoin Y-Splitter Set,AmpJoin,21.99,Y-Branch,"A 1-to-2 Y-branch connector set (M/FF and F/MM) for efficient parallel string connections. These connectors are TUV certified and built for low-resistance, safe power transmission."
3004,SolarSnap H4 Pair,SolarSnap,9.95,Amphenol H4,"Industry standard Amphenol H4 connector pair. These are known for their robust design, low contact resistance, and excellent durability in all weather conditions."
3005,QuickLink MC3 Set (10-pack),QuickLink,35.00,MC3,"A bulk pack of 10 pairs of older generation MC3 connectors. These are perfect for repair or maintenance on legacy solar installations that do not use the MC4 standard."
3006,SafeLock Inline Fuse 15A,SafeLock,14.99,MC4,"This MC4-compatible inline fuse holder comes with a 15A fuse. It provides essential overcurrent protection for your solar strings, preventing damage and ensuring system safety."
3007,PV-Link 4-to-1 Combiner,PV-Link,32.00,MC4 Combiner,"This 4-string parallel combiner connector simplifies wiring. It takes four inputs and combines them into one output, all within a single IP68 waterproof housing."
3008,AmpJoin Bulkhead M/F Pair,AmpJoin,12.50,MC4 Bulkhead,"A panel-mount MC4 connector pair (Male/Female). These are designed to be mounted on the wall of a combiner box or inverter, providing a clean, waterproof pass-through."
3009,HelioConnect Evo 2 Pair,HelioConnect,10.50,MC4-Evo 2,"The next generation MC4-Evo 2 connector pair. These are certified for 1500V systems, offering higher performance and suitability for modern, high-voltage solar arrays."
3010,JunctionX Diode Connector,JunctionX,16.00,MC4,"An MC4-compatible connector with an integrated bypass diode (15A). This is useful for preventing reverse current flow in shaded panels or custom parallel configurations."
3011,SafeLock Pro Pair (10-pack),SafeLock,49.99,MC4,"A bulk pack of 10 pairs of SafeLock Pro MC4 connectors. This is an economical choice for professional installers, ensuring you have quality connectors ready for the job."
3012,PV-Link T-Branch 3-1,PV-Link,24.00,T-Branch,"This 1-to-3 T-Branch connector (1 Male to 3 Female) is perfect for combining three solar panels in parallel. It maintains an IP67 rating for durable outdoor use."
3013,AmpJoin Y-Splitter (Long),AmpJoin,25.00,Y-Branch,"A 1-to-2 Y-branch connector set with 1-foot extension cables. This provides extra flexibility when wiring panels that are spaced further apart on the racking."
3014,SolarSnap H4 Tool Kit,SolarSnap,45.00,MC3,"A complete crimping and assembly tool kit for Amphenol H4 connectors. This ensures you get perfect, reliable crimps every time for a safe and secure connection."
3015,QuickLink MC4 Wrench Set,QuickLink,8.99,MC4,"A pair of lightweight plastic wrenches designed specifically for tightening and loosening MC4 connectors. A must-have tool for any solar installer to prevent under-tightening."
3016,SafeLock Inline Fuse 20A,SafeLock,15.50,MC4,"A 20A inline fuse holder with an MC4-compatible design. Use this to protect your strings from overcurrent, especially in systems with larger, high-power panels."
3017,PV-Link 2-to-1 Combiner,PV-Link,19.00,MC4 Combiner,"A simple 2-string parallel combiner connector (MM/F). This is a clean and waterproof alternative to using a standard Y-splitter for combining two panel strings."
