id,name,manufacturer,price,power_output,description
1001,Solarix Prime 450,Solarix,279.99,450,"This high-efficiency monocrystalline panel offers an impressive 450W output, making it ideal for residential rooftops. Features advanced PERC technology and a robust black aluminum frame for enhanced durability."
1002,RadiantEnergy X-Pro 550,RadiantEnergy,489.50,550,"Experience top-tier performance with the X-Pro 550, a 550W bifacial module. Its N-type TOPCon technology ensures excellent energy harvest even in low-light conditions. Backed by a 30-year performance warranty."
1003,QuantumCell Q.Peak 400,QuantumCell,225.00,400,"A cost-effective solution for large-scale commercial projects, the Q.Peak 400 provides 400W of reliable power. Built with high-density cell technology and a robust design to withstand harsh weather."
1004,FusionPV Flex 310,FusionPV,149.99,310,"This lightweight, flexible 310W panel is perfect for RVs, boats, and non-standard roof shapes. Its durable polymer construction resists salt mist and high winds, offering versatile installation options."
1005,ZenithSolar Vertex 600,ZenithSolar,499.00,600,"Maximize your power density with the ZenithSolar Vertex 600. This 600W panel uses large-format cells and half-cut technology to reduce internal losses and boost efficiency for utility-scale applications."
1006,SunVolt Guardian 380,SunVolt,199.99,380,"The SunVolt Guardian 380 is a reliable polycrystalline panel designed for budget-conscious installations. Its 380W output and proven performance make it a workhorse for grid-tied systems."
1007,TerraWatt Edge 430,TerraWatt,255.75,430,"This 430W monocrystalline panel features a sleek all-black design, perfect for homeowners who value aesthetics. It combines high efficiency with excellent temperature coefficients for great performance."
1008,HelioTek Bifacial 540,HelioTek,475.00,540,"The HelioTek Bifacial 540 captures sunlight from both sides, increasing total energy yield by up to 25%. This 540W module is ideal for ground-mount systems with reflective surfaces."
1009,Apex Solar Apex 410,Apex Solar,235.50,410,"A high-performance 410W monocrystalline panel from Apex Solar. It utilizes multi-busbar technology to improve reliability and efficiency, ensuring a long service life and stable output."
1010,NovaGrid PowerBlock 500,NovaGrid,410.00,500,"The NovaGrid PowerBlock 500 is engineered for commercial and industrial rooftops. This 500W panel offers a fantastic balance of power, size, and cost, optimizing your return on investment."
1011,Solarix Prime 440,Solarix,269.99,440,"This 440W monocrystalline panel is part of the flagship Prime series. It features anti-reflective coated glass and a reinforced frame, making it a durable choice for all climates."
1012,RadiantEnergy X-Pro 530,RadiantEnergy,465.00,530,"The X-Pro 530 is a high-output 530W bifacial module. Its advanced cell structure minimizes power degradation, ensuring a reliable and high-yield energy source for decades."
